mol_id,molecule_filename,predicted_gap,homo_ev,lumo_ev,actual_gap_ev,status,prediction_error_ev
MOL_93122,gqd_93122.mol,0.7168192262018802,-9.11649373,-8.39947734,0.71701639,SUCCESS,0.000197164
MOL_85396,gqd_85396.mol,0.7168397326287042,-9.23560561,-8.29902327,0.93658234,SUCCESS,0.2197426073712958
MOL_81388,gqd_81388.mol,0.7170282958147122,-8.86980954,-8.59498162,0.27482792,SUCCESS,-0.442200376
MOL_19917,gqd_19917.mol,0.7170383432799574,-9.31743142,-8.16438846,1.15304296,SUCCESS,0.43600461672004265
MOL_14972,gqd_14972.mol,0.7172216810506091,-9.38581817,-8.09932024,1.28649793,SUCCESS,0.5692762489493908
MOL_34048,gqd_34048.mol,0.7174462135329728,-9.42653114,-8.05186957,1.37466158,SUCCESS,0.6572153664670272
MOL_15021,gqd_15021.mol,0.7175097312871761,-9.16413968,-8.38624105,0.77789863,SUCCESS,0.060388898712823935
MOL_93507,gqd_93507.mol,0.717665346,-9.06944783,-8.40069962,0.66874821,SUCCESS,-0.048917136
MOL_18848,gqd_18848.mol,0.7177430555900834,-9.42911267,-8.02410427,1.40500841,SUCCESS,0.6872653544099165
MOL_67982,gqd_67982.mol,0.7177854952943059,-9.06069833,-8.43975642,0.62094191,SUCCESS,-0.096843585
MOL_06586,gqd_06586.mol,0.7079266295078239,-9.0821066,-8.4609561,0.62115049,SUCCESS,-0.08677614
MOL_04591,gqd_04591.mol,0.7081911998978591,-9.41966219,-8.06812291,1.35153928,SUCCESS,0.6433480801021408
MOL_85505,gqd_85505.mol,0.7082422339810951,-8.77408889,-8.73843634,0.03565255,SUCCESS,-0.672589684
MOL_57388,gqd_57388.mol,0.7082458878729418,-8.91840283,-8.62801363,0.2903892,SUCCESS,-0.417856688
MOL_45904,gqd_45904.mol,0.708320054,-8.88697098,-8.55416628,0.3328047,SUCCESS,-0.375515354
MOL_66023,gqd_66023.mol,0.7084012562294207,-9.27087893,-8.21546274,1.05541618,SUCCESS,0.3470149237705792
MOL_21464,gqd_21464.mol,0.7086175724142071,-9.29310794,-8.16248794,1.13062,SUCCESS,0.42200242758579287
MOL_67647,gqd_67647.mol,0.708634192,-8.74617354,-8.66987734,0.0762962,SUCCESS,-0.632337992
MOL_93860,gqd_93860.mol,0.7086897141770978,-9.48178359,-7.99296033,1.48882327,SUCCESS,0.7801335558229021
MOL_94560,gqd_94560.mol,0.7088147074312734,-9.22574678,-8.32977149,0.8959753,SUCCESS,0.18716059256872664
MOL_70777,gqd_70777.mol,0.7245322498793049,-9.29367406,-8.21761241,1.07606166,SUCCESS,0.35152941012069505
MOL_76542,gqd_76542.mol,0.7246098430201051,-9.17527022,-8.35385622,0.821414,SUCCESS,0.096804157
MOL_72408,gqd_72408.mol,0.7246863301946634,-8.78087028,-8.71777582,0.06309445,SUCCESS,-0.66159188
MOL_00519,gqd_00519.mol,0.7246996144643629,-9.42287603,-8.02193893,1.4009371,SUCCESS,0.676237486
MOL_20034,gqd_20034.mol,0.7248018399361611,-9.27968418,-8.17304566,1.10663852,SUCCESS,0.38183668006383886
MOL_81358,gqd_81358.mol,0.724862943,-8.95276673,-8.59775751,0.35500922,SUCCESS,-0.369853723
MOL_89425,gqd_89425.mol,0.7248964464755991,-9.32671041,-8.19681992,1.12989049,SUCCESS,0.4049940435244008
MOL_22440,gqd_22440.mol,0.7250152917098034,-9.17059112,-8.37425949,0.79633163,SUCCESS,0.071316338
MOL_89559,gqd_89559.mol,0.7250352654181212,-9.20868743,-8.27810349,0.93058394,SUCCESS,0.20554867458187875
MOL_82926,gqd_82926.mol,0.7250490686654791,-9.18335462,-8.23350822,0.94984639,SUCCESS,0.2247973213345209
MOL_53790,gqd_53790.mol,0.7294388346846155,-8.9204259,-8.60986823,0.31055766,SUCCESS,-0.418881175
MOL_14338,gqd_14338.mol,0.729646363,-9.26731083,-8.21400902,1.05330181,SUCCESS,0.323655447
MOL_40256,gqd_40256.mol,0.7296788002214564,-9.22619871,-8.22068158,1.00551712,SUCCESS,0.27583831977854356
MOL_94338,gqd_94338.mol,0.7296870564056039,-9.44728064,-8.00315233,1.44412831,SUCCESS,0.714441254
MOL_03647,gqd_03647.mol,0.7297344607138013,-9.03851566,-8.43394809,0.60456757,SUCCESS,-0.125166891
MOL_38790,gqd_38790.mol,0.7297433568063664,-9.10364853,-8.42298507,0.68066345,SUCCESS,-0.049079907
MOL_62037,gqd_62037.mol,0.730004103,-9.26509876,-8.19779679,1.06730198,SUCCESS,0.33729787732123406
MOL_99528,gqd_99528.mol,0.7300238606860204,-9.02923338,-8.46965662,0.55957677,SUCCESS,-0.170447091
MOL_95540,gqd_95540.mol,0.73010541,-8.86789237,-8.648639,0.21925337,SUCCESS,-0.51085204
MOL_46933,gqd_46933.mol,0.7302517676462552,-9.06906756,-8.45608972,0.61297785,SUCCESS,-0.117273918
MOL_23869,gqd_23869.mol,0.7117744277448607,-9.23373835,-8.30096458,0.93277378,SUCCESS,0.22099935225513934
MOL_45855,gqd_45855.mol,0.7117839742983076,-9.20892439,-8.33359463,0.87532975,SUCCESS,0.16354577570169238
MOL_34303,gqd_34303.mol,0.7118012446857934,-9.25763844,-8.29685678,0.96078166,SUCCESS,0.24898041531420656
MOL_31366,gqd_31366.mol,0.7118269778553533,-9.36708306,-8.02823115,1.33885191,SUCCESS,0.6270249321446467
MOL_17203,gqd_17203.mol,0.7118454155748413,-9.28956971,-8.21609778,1.07347194,SUCCESS,0.36162652442515864
MOL_12151,gqd_12151.mol,0.7119135040289359,-9.32051741,-8.18284054,1.13767686,SUCCESS,0.4257633559710641
MOL_60979,gqd_60979.mol,0.7119262537596648,-9.07205694,-8.46398193,0.60807501,SUCCESS,-0.103851244
MOL_13725,gqd_13725.mol,0.7119593013637876,-9.25375488,-8.22574499,1.02800989,SUCCESS,0.3160505886362125
MOL_78495,gqd_78495.mol,0.7119771619765625,-8.98824305,-8.45470923,0.53353382,SUCCESS,-0.178443342
MOL_98438,gqd_98438.mol,0.7120598080299508,-9.51325997,-7.90569206,1.60756791,SUCCESS,0.8955081019700492
MOL_30149,gqd_30149.mol,0.7052726389833989,-9.29482541,-8.23387585,1.06094957,SUCCESS,0.35567693101660114
MOL_84362,gqd_84362.mol,0.7052754161175856,-9.50448706,-8.00047251,1.50401455,SUCCESS,0.7987391338824144
MOL_91812,gqd_91812.mol,0.7053087904406686,-9.10708332,-8.44255161,0.66453171,SUCCESS,-0.04077708
MOL_30606,gqd_30606.mol,0.7053876897233647,-9.14695885,-8.41020097,0.73675788,SUCCESS,0.031370190276635235
MOL_59323,gqd_59323.mol,0.7054323578293201,-9.40341886,-8.08726275,1.31615611,SUCCESS,0.610723752
MOL_08287,gqd_08287.mol,0.7055215602527848,-8.83592375,-8.70876096,0.12716279,SUCCESS,-0.57835877
MOL_11742,gqd_11742.mol,0.7056250038472969,-9.4741883,-7.99744378,1.47674452,SUCCESS,0.7711195161527031
MOL_71303,gqd_71303.mol,0.7056868347918014,-9.31278197,-8.2265246,1.08625737,SUCCESS,0.3805705352081986
MOL_24382,gqd_24382.mol,0.70576411,-9.54075193,-7.91270933,1.62804261,SUCCESS,0.9222785003597901
MOL_60771,gqd_60771.mol,0.7058177850577193,-9.29814296,-8.24437554,1.05376742,SUCCESS,0.3479496349422807
MOL_18216,gqd_18216.mol,0.7122073090490355,-9.02617706,-8.48957964,0.53659742,SUCCESS,-0.175609889
MOL_13569,gqd_13569.mol,0.7122572213280317,-9.47753609,-7.986549,1.49098709,SUCCESS,0.7787298686719683
MOL_90584,gqd_90584.mol,0.712265437,-9.30988261,-8.12714608,1.18273653,SUCCESS,0.4704710930558339
MOL_32686,gqd_32686.mol,0.7123154763140392,-8.9403576,-8.53999258,0.40036502,SUCCESS,-0.311950456
MOL_44355,gqd_44355.mol,0.7126237230481982,-8.83941319,-8.74616569,0.0932475,SUCCESS,-0.619376223
MOL_30427,gqd_30427.mol,0.7126873992797502,-9.24788792,-8.20940584,1.03848208,SUCCESS,0.32579468072024986
MOL_02363,gqd_02363.mol,0.7127481861480484,-9.1535053,-8.36145877,0.79204653,SUCCESS,0.079298344
MOL_90273,gqd_90273.mol,0.7127527343263826,-9.26210897,-8.28608036,0.9760286,SUCCESS,0.2632758656736174
MOL_95214,gqd_95214.mol,0.71275479,-9.50018849,-7.93184206,1.56834643,SUCCESS,0.8555916404336461
MOL_04214,gqd_04214.mol,0.7128809550016414,-8.83865747,-8.68422727,0.1544302,SUCCESS,-0.558450755
MOL_45184,gqd_45184.mol,0.7140275467344701,-8.93675023,-8.57437213,0.36237811,SUCCESS,-0.351649437
MOL_20989,gqd_20989.mol,0.7140928362341649,-9.18413635,-8.37964582,0.80449053,SUCCESS,0.090397694
MOL_90673,gqd_90673.mol,0.7141137507091693,-9.14006139,-8.34476077,0.79530062,SUCCESS,0.081186869
MOL_28826,gqd_28826.mol,0.714163449,-9.3422809,-8.08402666,1.25825424,SUCCESS,0.5440907913303601
MOL_12752,gqd_12752.mol,0.7142699620682598,-9.03994294,-8.38095249,0.65899045,SUCCESS,-0.055279512
MOL_51934,gqd_51934.mol,0.7144060043394161,-9.13507428,-8.34464683,0.79042745,SUCCESS,0.076021446
MOL_80547,gqd_80547.mol,0.7144074564161179,-8.98968437,-8.51683576,0.47284862,SUCCESS,-0.241558836
