mol_id,status,HOMO_eV,LUMO_eV,HOMO_LUMO_gap_eV,error,split
MOL_68206,success,-9.38991656,-8.07695246,1.3129641,,train
MOL_46772,success,-9.13032748,-8.38629479,0.74403269,,train
MOL_00015,success,-9.21172664,-8.24261945,0.96910719,,train
MOL_23623,success,-8.95326865,-8.55190372,0.40136494,,train
MOL_34116,success,-8.99556532,-8.49457477,0.50099055,,train
MOL_49088,success,-9.10910188,-8.38439709,0.7247048,,train
MOL_52371,success,-9.15061362,-8.41854742,0.7320662,,train
MOL_53576,success,-8.85955657,-8.63228709,0.22726948,,train
MOL_69010,success,-9.33432715,-8.1246855,1.20964165,,train
MOL_00238,success,-9.28742733,-8.18174174,1.10568559,,train
MOL_32547,success,-9.19789968,-8.31816518,0.87973449,,train
MOL_62676,success,-9.06357412,-8.4029328,0.66064132,,train
MOL_36948,success,-9.07824391,-8.36829835,0.70994556,,train
MOL_28604,success,-8.99092198,-8.56923795,0.42168403,,train
MOL_91576,success,-8.80047253,-8.73616128,0.06431124,,train
MOL_47033,success,-9.045601,-8.49374302,0.55185797,,train
MOL_91553,success,-8.91915489,-8.58378036,0.33537453,,train
MOL_94658,success,-9.17532491,-8.36003274,0.81529217,,train
MOL_90579,success,-9.29746987,-8.03738453,1.26008534,,train
MOL_52509,success,-8.85372429,-8.66057489,0.1931494,,train
MOL_58834,success,-9.27181253,-8.22633677,1.04547576,,train
MOL_78655,success,-9.46550072,-7.99489069,1.47061003,,train
MOL_84046,success,-9.34409886,-8.07260715,1.27149171,,train
MOL_70311,success,-9.04811837,-8.45563247,0.5924859,,train
MOL_89461,success,-9.00603953,-8.49699378,0.50904576,,train
MOL_69401,success,-9.37281292,-8.0983359,1.27447703,,train
MOL_39888,success,-9.08410778,-8.43142197,0.65268581,,train
MOL_74659,success,-9.12342583,-8.40346517,0.71996066,,train
MOL_55091,success,-9.0191139,-8.50065761,0.51845629,,train
MOL_14462,success,-9.07519333,-8.46118833,0.614005,,train
MOL_96439,success,-9.01983875,-8.46533602,0.55450274,,train
MOL_34420,success,-8.84508768,-8.62603274,0.21905494,,train
MOL_47177,success,-8.92029591,-8.59621692,0.32407899,,train
MOL_01751,success,-9.11424829,-8.32852446,0.78572383,,train
MOL_42112,success,-9.26961544,-8.15144194,1.11817351,,train
MOL_62808,success,-9.38575061,-8.11095844,1.27479217,,train
MOL_12574,success,-9.03180235,-8.46667403,0.56512832,,train
MOL_65725,success,-8.78726606,-8.73018201,0.05708405,,train
MOL_96514,success,-9.10429893,-8.34730767,0.75699126,,train
MOL_37941,success,-9.24094831,-8.23158344,1.00936486,,train
MOL_28884,success,-9.35406373,-8.17130755,1.18275618,,train
MOL_17646,success,-9.32336574,-8.123041,1.20032474,,train
MOL_19461,success,-9.02880918,-8.49517923,0.53362995,,train
MOL_78944,success,-9.01637128,-8.46926843,0.54710285,,train
MOL_49278,success,-9.04937349,-8.41867308,0.63070042,,train
MOL_45590,success,-8.91245787,-8.58542299,0.32703488,,train
MOL_30375,success,-9.28630701,-8.221562,1.06474501,,train
MOL_92263,success,-9.25953438,-8.25432571,1.00520868,,train
MOL_91322,success,-9.13076061,-8.38432907,0.74643154,,train
MOL_33331,success,-9.42465945,-7.96315142,1.46150803,,train
